Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
090100225,E21,09002955,Outside Fire,01/10/2009,01/10/2009,01/10/2009 02:36:01 PM,01/10/2009 02:36:34 PM,01/10/2009 02:37:22 PM,01/10/2009 02:38:32 PM,01/10/2009 02:41:11 PM,,,Other,01/10/2009 02:41:55 PM,GROVE ST/CENTRAL AV,SF,94117,B05,21,4361,3,3,3,true,,1,ENGINE,1,5,5,Lone Mountain/USF,"(37.775086085408, -122.444592861504)",090100225-E21
090120049,E21,09003425,Outside Fire,01/12/2009,01/11/2009,01/12/2009 07:00:17 AM,01/12/2009 07:01:18 AM,01/12/2009 07:01:39 AM,01/12/2009 07:01:57 AM,01/12/2009 07:04:03 AM,,,Other,01/12/2009 07:07:14 AM,FULTON ST/WILLARD NORTH ST,SF,94118,B07,21,4561,3,3,3,true,,1,ENGINE,1,7,1,Lone Mountain/USF,"(37.7746727324929, -122.455797073389)",090120049-E21
090120051,E21,09003426,Outside Fire,01/12/2009,01/11/2009,01/12/2009 07:08:42 AM,01/12/2009 07:10:28 AM,01/12/2009 07:10:58 AM,01/12/2009 07:11:28 AM,,,,Other,01/12/2009 07:15:05 AM,FULTON ST/STANYAN ST,SF,94122,B07,21,4561,3,3,3,true,,1,ENGINE,1,7,1,Lone Mountain/USF,"(37.7747554836103, -122.454682645753)",090120051-E21
090130254,84,09003852,Outside Fire,01/13/2009,01/13/2009,01/13/2009 03:59:16 PM,01/13/2009 04:01:20 PM,01/13/2009 04:01:34 PM,,,,,Other,01/13/2009 04:02:14 PM,GEARY BL/ARGUELLO BL,SF,94118,B07,31,7113,3,3,3,true,,1,MEDIC,2,7,1,Lone Mountain/USF,"(37.7812570600281, -122.458858659839)",090130254-84
090130254,E31,09003852,Outside Fire,01/13/2009,01/13/2009,01/13/2009 03:59:16 PM,01/13/2009 04:01:20 PM,01/13/2009 04:01:34 PM,01/13/2009 04:02:43 PM,01/13/2009 04:05:07 PM,,,Fire,01/13/2009 04:08:37 PM,GEARY BL/ARGUELLO BL,SF,94118,B07,31,7113,3,3,3,false,,1,ENGINE,1,7,1,Lone Mountain/USF,"(37.7812570600281, -122.458858659839)",090130254-E31
090150308,74,09004522,Structure Fire,01/15/2009,01/15/2009,01/15/2009 05:37:27 PM,01/15/2009 05:39:27 PM,01/15/2009 05:39:34 PM,01/15/2009 05:41:28 PM,,,,Other,01/15/2009 05:44:33 PM,100 Block of COLE ST,SF,94117,B05,21,4535,3,3,3,true,,1,MEDIC,10,5,5,Lone Mountain/USF,"(37.7737909326807, -122.451000209321)",090150308-74
090150308,B02,09004522,Structure Fire,01/15/2009,01/15/2009,01/15/2009 05:37:27 PM,01/15/2009 05:39:27 PM,01/15/2009 05:39:34 PM,01/15/2009 05:42:05 PM,,,,Other,01/15/2009 05:44:55 PM,100 Block of COLE ST,SF,94117,B05,21,4535,3,3,3,false,,1,CHIEF,6,5,5,Lone Mountain/USF,"(37.7737909326807, -122.451000209321)",090150308-B02
090150308,B07,09004522,Structure Fire,01/15/2009,01/15/2009,01/15/2009 05:37:27 PM,01/15/2009 05:39:27 PM,01/15/2009 05:39:34 PM,01/15/2009 05:42:03 PM,01/15/2009 05:50:03 PM,,,Other,01/15/2009 06:02:01 PM,100 Block of COLE ST,SF,94117,B05,21,4535,3,3,3,false,,1,CHIEF,5,5,5,Lone Mountain/USF,"(37.7737909326807, -122.451000209321)",090150308-B07
090150308,D2,09004522,Structure Fire,01/15/2009,01/15/2009,01/15/2009 05:37:27 PM,01/15/2009 05:39:27 PM,01/15/2009 05:39:34 PM,01/15/2009 05:40:31 PM,01/15/2009 05:44:42 PM,,,Other,01/15/2009 05:44:55 PM,100 Block of COLE ST,SF,94117,B05,21,4535,3,3,3,false,,1,CHIEF,4,5,5,Lone Mountain/USF,"(37.7737909326807, -122.451000209321)",090150308-D2
090150308,E10,09004522,Structure Fire,01/15/2009,01/15/2009,01/15/2009 05:37:27 PM,01/15/2009 05:39:27 PM,01/15/2009 05:39:34 PM,01/15/2009 05:41:09 PM,,,,Other,01/15/2009 05:44:55 PM,100 Block of COLE ST,SF,94117,B05,21,4535,3,3,3,true,,1,ENGINE,7,5,5,Lone Mountain/USF,"(37.7737909326807, -122.451000209321)",090150308-E10
