Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
170011892,63,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:49:26 AM,01/01/2017 11:53:10 AM,,,Fire,01/01/2017 11:56:08 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,true,Alarm,1,MEDIC,6,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-63
170011892,B02,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:50:20 AM,01/01/2017 11:54:29 AM,,,Fire,01/01/2017 11:57:21 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,false,Alarm,1,CHIEF,9,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-B02
170011892,B07,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:50:23 AM,01/01/2017 11:53:46 AM,,,Fire,01/01/2017 12:07:35 PM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,false,Alarm,1,CHIEF,8,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-B07
170011892,D2,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:50:08 AM,01/01/2017 11:52:34 AM,,,Fire,01/01/2017 11:57:21 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,false,Alarm,1,CHIEF,4,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-D2
170011892,E05,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:50:27 AM,01/01/2017 11:52:33 AM,,,Fire,01/01/2017 11:57:21 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,true,Alarm,1,ENGINE,3,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-E05
170011892,E10,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:50:56 AM,01/01/2017 11:50:56 AM,01/01/2017 11:53:40 AM,,,Fire,01/01/2017 11:57:21 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,true,Alarm,1,ENGINE,7,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-E10
170011892,E21,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:50:33 AM,01/01/2017 11:52:17 AM,,,Fire,01/01/2017 12:07:09 PM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,true,Alarm,1,ENGINE,2,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-E21
170011892,E38,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:50:12 AM,,,,Fire,01/01/2017 11:55:24 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,false,Alarm,1,ENGINE,10,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-E38
170011892,RS1,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:50:06 AM,,,,Fire,01/01/2017 11:55:18 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,false,Alarm,1,RESCUE SQUAD,11,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-RS1
170011892,T10,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:49:34 AM,01/01/2017 11:51:48 AM,,,Fire,01/01/2017 12:06:34 PM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,true,Alarm,1,TRUCK,1,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-T10
170011892,T16,17000284,Structure Fire,01/01/2017,01/01/2017,01/01/2017 11:47:55 AM,01/01/2017 11:48:51 AM,01/01/2017 11:49:16 AM,01/01/2017 11:49:45 AM,01/01/2017 11:52:35 AM,,,Fire,01/01/2017 11:57:21 AM,100 Block of MASONIC AVE,San Francisco,94118,B05,10,4456,3,3,3,false,Alarm,1,TRUCK,5,5,2,Lone Mountain/USF,"(37.7806283439313, -122.447314390874)",170011892-T16
170153317,E21,17007065,Outside Fire,01/15/2017,01/15/2017,01/15/2017 09:41:30 PM,01/15/2017 09:42:51 PM,01/15/2017 09:43:14 PM,01/15/2017 09:44:09 PM,01/15/2017 09:45:40 PM,,,Fire,01/15/2017 09:50:42 PM,FULTON ST/BAKER ST,San Francisco,94117,B05,21,4243,3,3,3,false,Fire,1,ENGINE,1,5,5,Lone Mountain/USF,"(37.7764350354593, -122.441488325547)",170153317-E21
