Month of Call Date,Day of Call Date,Number of Records
December,1,6
December,2,14
December,3,2
December,4,3
December,5,17
December,6,12
December,7,12
December,8,3
December,9,2
December,10,32
December,11,3
December,12,19
December,13,27
December,14,10
December,15,3
December,16,15
December,17,2
December,18,20
December,22,14
December,23,42
December,25,11
December,26,16
December,27,28
December,28,16
December,29,7
December,30,5
December,31,3
November,1,23
November,2,15
November,3,2
November,4,12
November,6,4
November,7,15
November,8,22
November,9,23
November,10,7
November,11,15
November,12,3
November,13,3
November,15,30
November,16,27
November,17,30
November,18,7
November,19,7
November,20,22
November,21,4
November,23,1
November,24,17
November,25,28
November,26,4
November,27,31
November,28,23
November,29,16
November,30,2
October,2,16
October,3,10
October,4,10
October,6,40
October,7,2
October,8,2
October,9,18
October,11,22
October,12,1
October,13,27
October,14,16
October,15,17
October,16,15
October,17,57
October,18,2
October,20,14
October,21,24
October,22,2
October,23,13
October,24,12
October,25,1
October,26,4
October,27,2
October,28,16
October,29,13
October,30,17
October,31,33
September,1,9
September,2,4
September,3,6
September,4,26
September,5,23
September,6,14
September,7,26
September,9,16
September,10,11
September,11,18
September,12,5
September,13,4
September,14,4
September,15,11
September,16,3
September,17,12
September,18,3
September,20,17
September,21,15
September,22,6
September,23,23
September,24,15
September,25,15
September,26,4
September,28,12
September,29,23
September,30,13
August,1,7
August,2,33
August,3,22
August,4,10
August,5,4
August,6,11
August,7,4
August,8,4
August,9,2
August,10,12
August,11,5
August,12,25
August,13,3
August,15,17
August,16,18
August,17,15
August,18,5
August,19,20
August,21,4
August,22,4
August,23,1
August,24,4
August,25,4
August,26,23
August,27,48
August,28,12
August,29,3
August,30,28
August,31,14
July,1,19
July,2,21
July,3,5
July,4,34
July,5,31
July,6,3
July,8,5
July,9,14
July,10,3
July,11,25
July,12,12
July,13,24
July,14,29
July,15,5
July,16,2
July,17,3
July,18,10
July,19,11
July,20,21
July,22,17
July,23,11
July,24,13
July,25,3
July,26,3
July,27,13
July,28,14
July,29,22
July,30,13
July,31,16
June,1,23
June,2,8
June,3,2
June,4,15
June,5,20
June,6,2
June,7,5
June,8,13
June,10,13
June,11,11
June,12,17
June,13,5
June,14,11
June,15,2
June,16,10
June,17,19
June,18,6
June,19,18
June,20,9
June,21,1
June,22,13
June,23,11
June,24,24
June,26,13
June,28,10
June,30,3
May,1,7
May,2,40
May,3,5
May,4,2
May,5,1
May,6,3
May,7,5
May,8,10
May,9,14
May,10,2
May,11,4
May,12,11
May,13,2
May,14,19
May,15,6
May,16,24
May,17,15
May,18,4
May,19,36
May,20,18
May,22,10
May,23,69
May,24,3
May,25,4
May,26,9
May,27,4
May,28,26
May,29,3
May,30,3
May,31,11
April,1,2
April,2,10
April,3,17
April,4,12
April,5,2
April,6,15
April,7,10
April,8,3
April,9,16
April,10,38
April,11,14
April,14,15
April,15,11
April,16,37
April,17,20
April,18,24
April,19,13
April,20,26
April,21,5
April,22,11
April,23,6
April,24,18
April,25,2
April,26,17
April,27,17
April,28,25
March,1,27
March,2,36
March,4,22
March,5,13
March,6,22
March,7,2
March,8,2
March,9,15
March,10,27
March,11,24
March,12,15
March,13,26
March,14,5
March,15,4
March,16,13
March,17,30
March,18,7
March,19,30
March,21,1
March,22,14
March,25,2
March,26,16
March,27,16
March,28,5
March,29,7
March,30,12
February,1,13
February,2,16
February,3,4
February,4,14
February,5,4
February,6,19
February,8,16
February,9,10
February,10,4
February,11,3
February,12,27
February,13,41
February,14,11
February,15,6
February,16,5
February,17,2
February,18,5
February,19,13
February,20,1
February,21,13
February,22,9
February,23,14
February,24,10
February,25,5
February,27,7
February,28,12
January,1,40
January,2,3
January,3,4
January,4,20
January,5,12
January,6,15
January,7,15
January,8,3
January,9,21
January,10,12
January,11,12
January,12,18
January,13,15
January,14,11
January,15,14
January,16,12
January,18,3
January,19,4
January,20,16
January,21,3
January,22,2
January,23,10
January,24,1
January,25,15
January,26,5
January,27,12
January,28,8
January,29,23
January,30,32
January,31,17
