Date,IncidntNum
2009-January,52
2009-February,42
2009-March,36
2009-April,30
2009-May,22
2009-June,51
2009-July,95
2009-August,33
2009-September,25
2009-October,82
2009-November,27
2009-December,35
2010-January,51
2010-February,21
2010-March,44
2010-April,18
2010-May,69
2010-June,14
2010-July,36
2010-August,21
2010-September,62
2010-October,32
2010-November,18
2010-December,36
2011-January,24
2011-February,7
2011-March,45
2011-April,65
2011-May,6
2011-June,6
2011-July,34
2011-August,40
2011-September,19
2011-October,8
2011-November,77
2011-December,17
2012-January,50
2012-February,29
2012-March,38
2012-April,56
2012-May,29
2012-June,39
2012-July,29
2012-August,52
2012-September,42
2012-October,46
2012-November,32
2012-December,22
2013-January,62
2013-February,18
2013-March,47
2013-April,21
2013-May,17
2013-June,35
2013-July,36
2013-August,32
2013-September,28
2013-October,19
2013-November,18
2013-December,32
2014-January,15
2014-February,22
2014-March,34
2014-April,28
2014-May,48
2014-June,61
2014-July,25
2014-August,41
2014-September,61
2014-October,15
2014-November,16
2014-December,49
2015-January,6
2015-February,44
2015-March,48
2015-April,44
2015-May,52
2015-June,6
2015-July,48
2015-August,82
2015-September,28
2015-October,48
2015-November,61
2015-December,21
2016-January,37
2016-February,67
2016-March,38
2016-April,56
2016-May,14
2016-June,20
2016-July,22
2016-August,28
2016-September,29
2016-October,44
2016-November,33
2016-December,35
2017-January,38
2017-February,25
2017-March,38
2017-April,39
2017-May,47
2017-June,24
2017-July,38
2017-August,25
2017-September,28
2017-October,52
2017-November,35
2017-December,63
2018-January,29
2018-February,9
2018-March,25
2018-April,22
2018-May,66
2018-June,28
2018-July,39
2018-August,8
2018-September,17
2018-October,60
2018-November,76
2018-December,34
